user_id,latitude,longtitude,timestamp
000,40.00152,116.311859,2009-04-03 01:16:57
000,40.001437,116.31225,2009-04-03 01:17:02
000,40.001434,116.312406,2009-04-03 01:17:07
000,40.001418,116.312536,2009-04-03 01:17:12
000,40.001398,116.312649,2009-04-03 01:17:17
000,40.001481,116.31262,2009-04-03 01:17:22
000,40.00137,116.312659,2009-04-03 01:17:28
000,40.001397,116.312671,2009-04-03 01:17:33
000,40.001458,116.312656,2009-04-03 01:17:38
000,40.001549,116.312655,2009-04-03 01:17:43
000,40.001656,116.31265,2009-04-03 01:17:48
000,40.001797,116.312616,2009-04-03 01:17:53
000,40.001928,116.312615,2009-04-03 01:17:58
000,40.002051,116.31263,2009-04-03 01:18:03
000,40.002204,116.312624,2009-04-03 01:18:08
000,40.002369,116.312624,2009-04-03 01:18:13
000,40.002508,116.312596,2009-04-03 01:18:18
000,40.002649,116.312581,2009-04-03 01:18:23
000,40.002769,116.312561,2009-04-03 01:18:28
000,40.00293,116.312549,2009-04-03 01:18:33
000,40.003135,116.312509,2009-04-03 01:18:38
000,40.00335,116.312536,2009-04-03 01:18:43
000,40.003494,116.312525,2009-04-03 01:18:48
000,40.003673,116.31252,2009-04-03 01:18:53
000,40.003822,116.312509,2009-04-03 01:18:58
000,40.004016,116.312476,2009-04-03 01:19:03
000,40.004172,116.312458,2009-04-03 01:19:08
000,40.004391,116.312562,2009-04-03 01:19:13
000,40.004422,116.312795,2009-04-03 01:19:18
000,40.00444,116.313018,2009-04-03 01:19:23
000,40.004462,116.313236,2009-04-03 01:19:28
000,40.004483,116.313451,2009-04-03 01:19:33
000,40.004499,116.313675,2009-04-03 01:19:38
000,40.004499,116.31391,2009-04-03 01:19:43
000,40.004511,116.314122,2009-04-03 01:19:48
000,40.004536,116.31433,2009-04-03 01:19:53
000,40.004561,116.314561,2009-04-03 01:19:58
000,40.004578,116.314774,2009-04-03 01:20:03
000,40.004637,116.314999,2009-04-03 01:20:08
000,40.004643,116.315208,2009-04-03 01:20:13
000,40.004653,116.315422,2009-04-03 01:20:18
000,40.004662,116.315642,2009-04-03 01:20:23
000,40.004687,116.31586,2009-04-03 01:20:28
000,40.004705,116.316074,2009-04-03 01:20:33
000,40.004739,116.316299,2009-04-03 01:20:38
000,40.004789,116.316522,2009-04-03 01:20:43
000,40.004797,116.316739,2009-04-03 01:20:48
000,40.004787,116.316961,2009-04-03 01:20:53
000,40.0048,116.317188,2009-04-03 01:20:58
000,40.004798,116.317426,2009-04-03 01:21:03
000,40.004805,116.317655,2009-04-03 01:21:08
000,40.004817,116.317871,2009-04-03 01:21:13
000,40.004868,116.317967,2009-04-03 01:21:18
000,40.004968,116.317923,2009-04-03 01:21:23
000,40.00511,116.317931,2009-04-03 01:21:28
000,40.005285,116.317922,2009-04-03 01:21:33
000,40.005441,116.317923,2009-04-03 01:21:38
000,40.005566,116.31797,2009-04-03 01:21:43
000,40.005598,116.31799,2009-04-03 01:21:48
000,40.005608,116.318011,2009-04-03 01:21:53
000,40.005608,116.318007,2009-04-03 01:21:58
000,40.005608,116.318007,2009-04-03 01:22:01
000,40.00561,116.318008,2009-04-03 01:22:03
000,40.005607,116.317999,2009-04-03 01:22:08
000,40.005602,116.317986,2009-04-03 01:22:13
000,40.005599,116.317975,2009-04-03 01:22:18
000,40.005596,116.317967,2009-04-03 01:22:23
000,40.005596,116.317967,2009-04-03 01:22:26
000,40.005595,116.317965,2009-04-03 01:22:28
000,40.005588,116.317949,2009-04-03 01:22:33
000,40.005585,116.317933,2009-04-03 01:22:38
000,40.005582,116.317919,2009-04-03 01:22:43
000,40.00558,116.317906,2009-04-03 01:22:48
000,40.00558,116.317902,2009-04-03 01:22:53
000,40.005582,116.317904,2009-04-03 01:22:58
000,40.005582,116.317904,2009-04-03 01:23:01
000,40.005583,116.317903,2009-04-03 01:23:03
000,40.005581,116.31789,2009-04-03 01:23:08
000,40.005579,116.317877,2009-04-03 01:23:13
000,40.005576,116.317862,2009-04-03 01:23:18
000,40.005572,116.31785,2009-04-03 01:23:23
000,40.005571,116.317843,2009-04-03 01:23:28
000,40.005571,116.31784,2009-04-03 01:23:33
000,40.005572,116.317842,2009-04-03 01:23:38
000,40.005573,116.317842,2009-04-03 01:23:43
000,40.005573,116.317842,2009-04-03 01:23:46
000,40.00557,116.317834,2009-04-03 01:23:48
000,40.005563,116.317824,2009-04-03 01:23:53
000,40.005555,116.31779,2009-04-03 01:23:58
000,40.005565,116.317801,2009-04-03 01:24:03
000,40.005565,116.317801,2009-04-03 01:24:06
000,40.005567,116.317807,2009-04-03 01:24:08
000,40.005568,116.317773,2009-04-03 01:24:13
000,40.005685,116.317708,2009-04-03 01:24:18
000,40.005827,116.317718,2009-04-03 01:24:23
000,40.005969,116.317689,2009-04-03 01:24:28
000,40.006117,116.317661,2009-04-03 01:24:33
